"name","run.no.in.std.order","run.no","run.no.std.rp","test","size","L1_hit","L1_load"
"89","10",89,"10.6","parallel-inverted-simd-aligned","2000",6112009168, 8182012273
"90","11",90,"11.6","seq","4000",57076085614, 134548201822
"91","10",91,"10.7","parallel-inverted-simd-aligned","2000",5820008730, 7804011706
"92","6",92,"6.7","seq","2000",13032019548, 22220033330
"93","15",93,"15.7","parallel-inverted-simd-aligned","4000",38272057408, 54282081423
"94","9",94,"9.7","seq-inverted-simd-aligned","2000",10158015237, 12112018168
"95","13",95,"13.7","seq-inverted-simd","4000",31548047322, 70270105405
"96","7",96,"7.7","seq-simd","2000",7326010989, 16214024321
"97","11",97,"11.7","seq","4000",57022085533, 134480201720
"98","4",98,"4.7","seq-inverted-simd-aligned","1000",6746010119, 6926010389
"99","14",99,"14.7","seq-inverted-simd-aligned","4000",27756041634, 54218081327
"100","2",100,"2.7","seq-simd","1000",6264009396, 7342011013
"101","12",101,"12.7","seq-simd","4000",17512026268, 86568129852
"102","8",102,"8.7","seq-inverted-simd","2000",10542015813, 14172021258
"103","1",103,"1.7","seq","1000",7054010581, 8060012090
"104","5",104,"5.7","parallel-inverted-simd-aligned","1000",1646002469, 1764002646
"105","3",105,"3.7","seq-inverted-simd","1000",6788010182, 7078010617
"106","5",106,"5.8","parallel-inverted-simd-aligned","1000",1378002067, 1478002217
"107","13",107,"13.8","seq-inverted-simd","4000",31744047616, 70346105519
"108","14",108,"14.8","seq-inverted-simd-aligned","4000",27824041736, 54276081414
"109","4",109,"4.8","seq-inverted-simd-aligned","1000",6764010146, 6948010422
"110","3",110,"3.8","seq-inverted-simd","1000",6906010359, 7178010767
"111","1",111,"1.8","seq","1000",7134010701, 8146012219
"112","10",112,"10.8","parallel-inverted-simd-aligned","2000",5560008340, 7528011292
"113","12",113,"12.8","seq-simd","4000",17556026334, 86516129774
"114","8",114,"8.8","seq-inverted-simd","2000",10504015756, 14154021231
"115","15",115,"15.8","parallel-inverted-simd-aligned","4000",38190057285, 54262081393
"116","11",116,"11.8","seq","4000",56908085362, 134414201621
"117","9",117,"9.8","seq-inverted-simd-aligned","2000",10042015063, 12004018006
"118","2",118,"2.8","seq-simd","1000",6272009408, 7354011031
"119","7",119,"7.8","seq-simd","2000",7326010989, 16198024297
"120","6",120,"6.8","seq","2000",13330019995, 22244033366
"121","12",121,"12.9","seq-simd","4000",17376026064, 86428129642
"122","13",122,"13.9","seq-inverted-simd","4000",31586047379, 70306105459
"123","5",123,"5.9","parallel-inverted-simd-aligned","1000",1286001929, 1384002076
"124","2",124,"2.9","seq-simd","1000",6142009213, 7222010833
"125","3",125,"3.9","seq-inverted-simd","1000",6946010419, 7212010818
