"name","run.no.in.std.order","run.no","run.no.std.rp","test","size","Blocks","time"
"100","2",100,"2.7","seq-simd","1000",".7",1.468
"101","12",101,"12.7","seq-simd","4000",".7",210.379
"102","8",102,"8.7","seq-inverted-simd","2000",".7",6.180
"103","1",103,"1.7","seq","1000",".7",1.393
"104","5",104,"5.7","parallel-inverted-simd-aligned","1000",".7",0.082
"105","3",105,"3.7","seq-inverted-simd","1000",".7",0.578
"106","5",106,"5.8","parallel-inverted-simd-aligned","1000",".8",0.040
"107","13",107,"13.8","seq-inverted-simd","4000",".8",51.910
"108","14",108,"14.8","seq-inverted-simd-aligned","4000",".8",53.022
"109","4",109,"4.8","seq-inverted-simd-aligned","1000",".8",0.597
"110","3",110,"3.8","seq-inverted-simd","1000",".8",0.576
"111","1",111,"1.8","seq","1000",".8",1.445
"112","10",112,"10.8","parallel-inverted-simd-aligned","2000",".8",0.598
"113","12",113,"12.8","seq-simd","4000",".8",210.412
"114","8",114,"8.8","seq-inverted-simd","2000",".8",6.137
"115","15",115,"15.8","parallel-inverted-simd-aligned","4000",".8",4.391
"116","11",116,"11.8","seq","4000",".8",236.668
"117","9",117,"9.8","seq-inverted-simd-aligned","2000",".8",5.928
"118","2",118,"2.8","seq-simd","1000",".8",1.509
"119","7",119,"7.8","seq-simd","2000",".8",23.262
"120","6",120,"6.8","seq","2000",".8",23.601
"121","12",121,"12.9","seq-simd","4000",".9",210.521
"122","13",122,"13.9","seq-inverted-simd","4000",".9",51.980
"123","5",123,"5.9","parallel-inverted-simd-aligned","1000",".9",0.040
"124","2",124,"2.9","seq-simd","1000",".9",1.599
"125","3",125,"3.9","seq-inverted-simd","1000",".9",0.587
"126","9",126,"9.9","seq-inverted-simd-aligned","2000",".9",5.959
"127","14",127,"14.9","seq-inverted-simd-aligned","4000",".9",52.827
"128","6",128,"6.9","seq","2000",".9",23.622
"129","15",129,"15.9","parallel-inverted-simd-aligned","4000",".9",4.509
"130","1",130,"1.9","seq","1000",".9",1.444
"131","8",131,"8.9","seq-inverted-simd","2000",".9",6.133
"132","11",132,"11.9","seq","4000",".9",236.711
"133","7",133,"7.9","seq-simd","2000",".9",23.239
"134","10",134,"10.9","parallel-inverted-simd-aligned","2000",".9",0.559
"135","4",135,"4.9","seq-inverted-simd-aligned","1000",".9",0.599
"136","12",136,"12.10","seq-simd","4000",".10",210.305
"137","6",137,"6.10","seq","2000",".10",23.635
"138","7",138,"7.10","seq-simd","2000",".10",23.168
"139","4",139,"4.10","seq-inverted-simd-aligned","1000",".10",0.605
"140","5",140,"5.10","parallel-inverted-simd-aligned","1000",".10",0.045
"141","2",141,"2.10","seq-simd","1000",".10",1.468
"142","9",142,"9.10","seq-inverted-simd-aligned","2000",".10",6.025
"143","1",143,"1.10","seq","1000",".10",1.453
"144","13",144,"13.10","seq-inverted-simd","4000",".10",52.013
"145","10",145,"10.10","parallel-inverted-simd-aligned","2000",".10",0.560
"146","3",146,"3.10","seq-inverted-simd","1000",".10",0.579
"147","8",147,"8.10","seq-inverted-simd","2000",".10",6.074
"148","15",148,"15.10","parallel-inverted-simd-aligned","4000",".10",4.561
"149","14",149,"14.10","seq-inverted-simd-aligned","4000",".10",53.013
"150","11",150,"11.10","seq","4000",".10",236.690
"151",11,151,11.10,xeon-phi,4000,.10,3.294
"152",11,152,11.10,xeon-phi,4000,.10,3.302
"153",11,153,11.10,xeon-phi,4000,.10,3.570
"154",11,154,11.10,xeon-phi,4000,.10,3.615
"155",11,155,11.10,xeon-phi,4000,.10,3.855
"156",11,156,11.10,xeon-phi,4000,.10,3.299
"157",11,157,11.10,xeon-phi,4000,.10,3.540
"158",11,158,11.10,xeon-phi,4000,.10,3.325
"159",11,159,11.10,xeon-phi,4000,.10,3.289
"160",11,160,11.10,xeon-phi,4000,.10,3.293
